15,9,11,20,23,19,21,29,31,23,16,14,17,17,10,2,11,9,9,10,10,9,13,17,8,14,22,26,26,23,21,20,18,22,16,10,12,12,14,23,23,21,20,26,45,64,66,59,59,63,59,46,42,55,73,83,84,84,86,90,92,89,81,75,81,90,85,75,77,77,75,77,58,51,54,59,56,53,44,29,35,29,18,11,17,29,32,27,18,18,18,15,10,5,3,3,0,0,3,11,22,25,15,2,13,15,18,20,20,17,13,11,12,14,7,3,10,10,9,13,4,2,9,22,27,22,16,16,31,33,36,40,46,46,35,22,25,20,14,13,17,23,30,35,39,46,54,58,58,56,52,50,69,63,62,66,63,52,45,46,40,46,48,46,48,55,57,54,60,58,52,43,39,40,39,37,32,25,27,36,39,35,36,44,41,44,35,43,49,43,37,17,25,25,24,21,19,23,34,44,42,38,43,49,54,62,64,54,60,52,50,56,58,53,46,44,39,39,53,63,57,53,53,50,46,41,39,34,31,42,52,49,31,29,33,46,56,59,62,67,68,65,52,32,23,29,40,45,34,28,30,30,25,26,30,26
15,15,19,23,23,21,23,26,18,11,8,13,17,15,9,6,12,9,6,6,7,10,15,19,6,8,12,16,17,17,16,15,11,16,13,9,12,11,10,17,18,25,25,20,28,46,58,57,53,42,40,50,57,59,66,77,84,89,90,89,92,96,91,82,81,88,89,84,83,81,75,71,50,44,53,65,61,51,41,31,35,30,22,19,26,34,35,29,17,18,20,19,12,5,2,3,10,12,15,17,23,28,27,22,18,16,17,22,25,23,20,18,19,18,10,6,14,14,10,12,22,18,21,31,34,29,25,26,18,28,37,40,40,43,45,44,29,24,16,9,4,4,11,20,39,50,62,67,65,60,54,49,53,53,54,55,54,50,45,43,41,45,48,50,55,62,64,61,62,56,50,47,44,39,36,36,41,23,12,19,30,32,31,32,33,36,28,33,37,33,30,14,0,10,21,25,20,17,25,36,33,29,34,41,45,56,66,63,62,53,50,56,64,63,58,54,45,50,60,65,64,63,62,59,61,54,50,40,29,34,45,47,38,28,26,37,48,50,51,55,59,64,60,44,28,25,31,37,35,23,24,33,34,35,39,37
18,27,29,21,19,25,25,18,7,6,9,17,20,18,15,15,9,8,6,5,6,10,13,15,9,6,4,6,11,15,15,15,23,26,19,13,13,8,4,8,20,24,20,10,15,34,48,51,52,45,47,57,63,62,63,69,81,89,92,87,86,89,86,77,88,84,81,79,77,78,76,68,60,54,63,73,64,50,44,40,22,21,21,26,35,42,38,31,19,16,17,19,16,9,5,6,17,21,23,20,19,22,27,29,22,17,15,21,26,25,24,25,24,21,11,9,19,18,10,8,16,12,16,26,29,23,17,18,7,17,28,32,36,40,43,42,26,24,19,12,3,0,10,25,48,62,72,71,64,61,59,58,35,47,55,56,57,60,55,46,43,47,51,56,61,66,65,61,57,48,43,47,49,43,35,31,28,13,4,10,20,24,23,23,24,30,22,24,24,20,25,16,5,2,6,19,29,30,28,27,29,21,21,22,24,41,64,73,67,58,53,57,65,65,59,54,54,60,61,57,55,54,57,64,58,53,54,50,39,38,46,49,43,31,26,33,41,43,42,43,42,53,59,53,39,30,28,30,33,16,14,25,32,38,45,45
17,28,26,13,11,21,19,7,9,12,16,20,22,22,20,18,4,7,8,6,6,9,12,12,17,12,7,5,9,14,19,21,32,32,22,14,15,13,12,18,25,19,9,6,18,37,45,43,44,60,66,58,57,69,79,79,88,85,74,61,58,66,74,76,67,63,72,82,85,88,86,73,78,68,67,67,54,44,42,39,20,20,22,29,37,38,30,22,21,15,13,17,18,12,8,10,12,18,21,17,13,14,17,19,22,15,13,18,21,19,20,23,26,24,15,13,22,21,13,12,0,0,5,20,25,18,9,7,7,12,18,28,40,48,44,36,31,28,26,21,11,6,16,31,53,64,69,61,54,57,65,69,57,63,65,61,61,67,70,67,49,51,55,60,65,67,64,60,54,47,43,46,49,44,34,26,20,20,23,26,22,15,13,16,14,21,13,13,11,9,17,11,26,23,24,30,31,27,27,32,25,20,25,32,33,42,57,62,64,57,52,55,63,67,64,59,60,63,55,46,40,34,39,56,50,45,50,55,47,41,43,43,52,46,39,37,37,35,28,23,25,38,50,51,42,32,27,27,28,12,8,15,20,31,43,47
20,22,17,8,9,16,15,7,14,17,16,13,16,22,19,11,3,10,13,10,9,12,16,17,20,19,15,10,6,10,18,26,28,28,19,13,18,19,19,26,20,14,10,15,27,38,41,40,31,47,54,46,48,65,79,81,83,71,54,44,46,59,73,81,53,55,76,95,97,99,97,83,85,72,64,59,50,46,44,35,28,25,24,30,36,35,28,21,24,16,14,18,18,12,11,16,22,25,25,22,21,23,24,23,20,13,12,17,17,11,11,15,20,23,17,13,17,16,14,20,10,9,18,32,37,29,21,19,17,21,23,25,29,36,39,37,34,28,26,26,22,18,25,37,64,73,76,69,66,74,82,85,79,72,68,69,63,54,54,62,57,56,57,62,67,68,66,63,57,54,51,48,48,46,38,29,29,34,40,40,31,19,14,14,11,17,9,11,13,12,19,12,26,34,45,46,33,19,25,39,33,27,34,45,46,48,48,44,56,50,45,47,57,65,68,67,63,62,50,42,37,22,20,41,47,39,44,55,50,41,37,34,46,51,51,43,37,32,21,8,20,30,40,40,30,22,22,26,24,16,14,12,8,19,38,46
27,21,15,13,16,19,19,17,15,15,9,2,8,18,15,2,5,13,18,15,12,16,22,24,18,22,21,13,3,3,14,26,23,25,18,14,18,16,13,17,9,12,20,28,31,31,35,41,44,40,41,51,61,68,75,82,64,56,52,58,69,78,81,82,74,71,87,98,92,95,101,94,84,71,63,61,59,60,53,36,29,24,23,29,38,42,40,36,27,20,18,20,18,11,13,22,27,23,17,14,17,24,26,24,19,13,14,18,16,7,4,8,9,15,12,5,5,5,10,22,23,19,21,30,33,26,20,20,30,37,35,19,4,5,20,34,25,18,17,25,31,31,37,46,64,74,79,76,78,85,88,84,67,58,65,82,70,34,15,21,63,59,58,62,67,69,68,66,60,62,60,52,49,49,45,37,36,34,35,37,36,30,23,19,17,21,14,20,26,28,33,23,30,37,51,64,62,51,48,54,53,35,28,33,37,41,44,39,52,45,38,37,45,55,61,62,66,62,49,45,42,20,11,31,44,33,38,51,50,43,38,32,25,41,50,45,39,37,26,10,22,29,35,29,17,10,15,24,23,23,24,14,1,11,34,46
26,22,20,23,23,21,19,20,5,6,4,5,14,22,14,0,0,11,18,17,15,17,17,14,8,18,25,23,17,15,15,16,27,27,24,19,20,22,19,13,12,25,24,23,32,30,29,44,49,48,51,61,67,67,64,63,64,63,65,65,66,76,81,75,72,84,91,87,85,87,84,77,65,65,53,58,61,56,54,39,20,3,9,28,35,40,35,15,16,10,8,10,3,0,7,25,20,10,5,10,10,5,7,15,1,9,19,14,3,8,15,9,8,5,6,11,12,9,7,9,13,15,15,21,30,21,8,5,32,25,30,37,33,31,33,32,38,13,1,18,40,41,29,19,53,75,92,91,82,79,82,84,78,70,65,67,66,58,51,49,51,55,51,64,73,69,68,55,48,62,50,36,44,40,34,47,44,40,41,37,26,24,25,19,24,26,18,15,28,35,28,22,26,39,56,66,66,63,63,64,61,55,44,34,32,34,35,34,37,56,56,53,48,47,52,41,47,55,58,47,32,27,33,41,53,50,50,54,55,49,39,32,31,23,33,40,29,26,32,28,12,26,37,33,19,9,11,18,24,22,29,38,30,17,21,38
18,17,18,22,24,23,24,27,20,12,6,8,14,14,10,5,6,13,17,16,14,15,14,10,9,19,25,21,15,12,12,12,24,27,27,24,24,26,24,19,17,31,33,27,22,13,20,44,48,52,60,68,69,64,63,64,68,69,68,68,75,79,74,68,77,86,91,87,85,85,80,70,70,62,47,56,63,55,51,38,41,18,14,24,23,22,21,12,17,15,12,8,5,5,11,17,15,11,13,16,13,6,9,18,11,15,21,19,13,18,19,7,3,9,14,15,19,24,23,18,22,15,3,2,13,15,13,18,17,16,29,44,45,44,44,40,22,10,4,14,28,39,48,56,73,90,100,93,81,76,74,73,67,65,64,63,63,60,51,44,44,50,47,59,65,62,65,56,37,43,32,22,31,35,33,41,36,26,30,37,31,25,29,32,21,30,28,26,39,50,49,47,41,49,60,66,66,63,60,58,72,67,56,44,38,34,30,25,30,35,36,49,46,31,37,41,20,34,49,53,43,34,32,36,50,54,58,62,63,61,57,52,31,18,22,33,30,22,26,33,27,35,41,38,28,19,17,19,23,20,24,33,31,23,24,33
11,11,15,19,20,19,22,28,26,15,10,16,18,12,8,12,16,18,19,19,20,21,19,16,13,21,26,23,17,16,16,16,22,26,29,28,27,27,25,23,20,29,32,30,21,8,13,37,38,47,61,70,68,63,64,71,73,75,64,62,78,79,67,65,81,85,84,82,84,89,86,79,72,59,41,54,65,58,55,44,45,23,15,20,18,16,18,17,14,16,13,7,8,14,15,11,12,16,23,26,18,10,12,20,10,9,13,16,20,29,27,13,4,17,24,22,27,38,38,28,31,21,5,2,12,15,15,22,19,20,37,53,55,53,49,40,21,15,7,6,13,27,43,53,69,85,95,89,78,71,65,60,57,59,61,62,64,64,55,45,46,50,43,48,50,48,56,53,44,42,34,30,34,40,40,39,27,13,19,34,29,20,25,34,26,40,38,30,39,52,56,56,50,54,60,65,66,63,59,56,67,67,63,55,49,46,38,30,29,32,30,43,39,25,31,36,17,28,46,57,51,36,27,28,30,44,57,63,67,70,68,62,46,31,21,29,32,18,16,32,40,42,44,43,39,33,27,24,25,21,22,27,31,31,31,33
8,9,13,15,13,10,14,20,17,14,15,21,22,17,13,13,19,15,14,18,24,26,25,24,16,24,29,27,23,24,26,26,21,24,26,25,22,21,23,24,20,18,22,31,32,21,19,30,37,46,60,68,67,63,67,74,76,77,56,51,74,77,64,69,75,72,68,66,74,85,88,85,58,52,37,46,58,59,60,46,34,24,17,18,23,28,26,18,12,14,14,14,16,19,19,18,14,20,28,31,25,19,18,21,9,2,2,7,13,25,27,16,7,17,22,20,23,32,33,27,27,27,21,21,25,17,8,10,30,29,41,52,53,54,51,42,35,25,11,5,13,25,28,25,43,65,83,83,76,71,66,62,60,58,60,67,71,68,61,57,56,55,42,42,43,42,52,49,56,52,53,50,44,44,40,29,35,24,28,39,33,25,28,33,31,43,37,26,34,50,56,58,55,59,63,66,64,59,54,51,57,64,67,64,62,61,54,44,29,41,36,35,34,35,47,41,39,37,42,52,52,40,32,31,13,30,47,56,65,73,70,62,60,49,29,26,34,24,18,32,41,42,43,45,44,41,36,31,29,26,23,24,28,34,37,38
